regcode,date,Labor,Unemployment,Investment,Loan,Economy,Interest_rate,Inflation,Bankruptcy,Export,Mortgage_loan,Baggage,Holiday,BMW,Mercedes,McDonalds,Calvin_Klein,Gucci,Emigration,Washing_machine,Fridge,Sony,apple,Fitness,Recruitment,Travel,Savings,Computer_security,Unemployment_benefits,Fashion,MBA_degree
UA-05,1/1/2012,53,0,0,0,36,100,0,0,24,0,0,9,43,44,0,0,0,0,28,26,74,90,31,79,39,0,51,0,77,0
UA-05,2/1/2012,100,0,37,0,61,0,0,0,49,100,37,11,23,78,10,67,33,0,32,40,100,48,54,0,100,0,0,0,66,0
UA-05,3/1/2012,59,0,85,0,51,0,47,0,46,0,0,12,33,35,0,53,0,100,19,23,22,51,59,0,61,0,0,0,70,0
UA-05,4/1/2012,78,0,84,59,51,0,79,0,0,0,0,11,39,45,0,0,0,0,71,33,35,62,29,0,40,0,0,0,40,0
UA-05,5/1/2012,55,100,0,0,73,0,50,0,88,0,0,12,41,41,17,0,0,44,80,40,20,32,45,0,35,0,0,0,94,0
UA-05,6/1/2012,45,0,0,0,0,0,0,0,0,0,0,13,54,62,0,0,0,19,52,54,42,86,38,0,48,0,0,0,62,0
UA-05,7/1/2012,29,0,63,0,40,0,0,0,0,0,0,9,29,62,13,0,49,0,14,67,37,43,0,0,43,100,50,100,44,0
UA-05,8/1/2012,52,93,53,0,25,45,100,0,100,0,0,11,44,0,42,0,0,0,62,68,47,86,23,0,48,0,72,28,57,0
UA-05,9/1/2012,35,0,73,0,62,0,53,38,21,0,38,11,44,40,14,64,0,0,44,64,26,95,54,0,80,0,36,0,51,0
UA-05,10/1/2012,69,53,44,68,100,0,0,98,34,0,0,11,30,25,10,100,0,14,47,22,68,76,19,0,47,0,44,0,88,0
UA-05,11/1/2012,67,43,50,32,15,0,0,0,25,0,0,10,38,41,7,0,0,0,49,35,36,46,55,68,75,0,0,0,45,0
UA-05,12/1/2012,58,37,50,0,39,59,0,64,41,0,0,15,33,30,8,0,45,49,30,30,39,50,63,81,30,0,36,0,47,0
UA-05,1/1/2013,60,0,54,0,38,0,0,42,23,0,42,11,23,66,0,0,0,0,61,45,34,98,32,0,56,0,13,26,63,62
UA-05,2/1/2013,39,0,0,0,37,46,0,0,34,0,70,10,29,42,0,0,0,0,40,28,54,65,20,0,44,61,25,37,57,0
