Country Name,Country Code,Indicator Name,Indicator Code,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Moldova,MDA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,5.618523364,5.620204266,3.952465344,4.642930401,4.918823427,3.473174163,4.096792902,2.992636137,2.305425211,
Moldova,MDA,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,
Moldova,MDA,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,38.75761962,38.30901676,35.919574,33.93314569,34.130306,33.5130719,30.03057216,26.68837904,19.72652033,20.35700461
Moldova,MDA,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,40.49254857,40.24558224,42.29868639,42.32103138,40.50285026,39.69934641,43.22086653,46.81482167,54.66874575,53.11988812
Moldova,MDA,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,7.92E-05,4.18E-05,0,2.221190699,2.226031983,2.231438808,2.120547334,1.971318352,0.888069903,
Moldova,MDA,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,0.007984772,0.013921719,0.006648482,0.003416902,0.019139391,0.003582337,0.047224055,0.042262801,0.015525013,
Moldova,MDA,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,48.91019999,51.40960044,57.61920705,63.48865609,64.93285753,66.47342588,71.65504043,68.59017028,70.63661645,
Moldova,MDA,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,37.17306777,37.39381349,32.49399826,34.48042161,32.93344794,33.96944139,40.39725361,42.17263896,44.73692264,40.00290597
Moldova,MDA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,58.26555937,57.5835419,64.07032692,62.66953321,64.92418667,63.83693172,57.50177076,56.0999541,52.98394434,55.58714729
Moldova,MDA,Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,27.01111117,25.51896867,27.4204686,30.77851776,28.72869531,31.8640589,37.94828811,42.61885094,40.67996894,
Moldova,MDA,Commercial service imports (current US$),TM.VAL.SERV.CD.WT,877310000,948180000,978310000,815320000,807740000,921030000,1092120944,1147504073,850038905.5,1129440000
Moldova,MDA,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,5208490241,5486762627,5281117231,4000730524,4034385732,4848271340,5763741727,5841664324,5403338870,
