"date","geo","time","gprop","category","name","Travel","Holiday","Labor","Unemployment","Loan","Washing_machine","Fridge","BMW","Mercedes","Fashion","year","month"
"2018-01-07","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,12,29,87,0,0,0,5,36,43,2018,1
"2018-01-14","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",21,11,0,0,0,0,0,0,77,36,2018,1
"2018-01-21","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",34,0,0,0,0,0,0,8,0,0,2018,1
"2018-01-28","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,0,24,0,0,41,2018,1
"2018-02-04","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",20,6,0,0,0,24,0,10,14,24,2018,2
"2018-02-11","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,0,0,11,20,22,2018,2
"2018-02-18","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,13,0,0,0,20,0,0,0,27,2018,2
"2018-02-25","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,12,0,36,0,68,0,5,55,68,2018,2
"2018-03-04","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,15,36,0,0,0,0,15,0,0,2018,3
"2018-03-11","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,23,0,29,10,0,0,2018,3
"2018-03-18","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",17,15,0,0,17,30,0,0,26,45,2018,3
"2018-03-25","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,17,0,0,0,21,0,6,22,36,2018,3
"2018-04-01","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",34,0,20,0,0,34,0,0,58,52,2018,4
"2018-04-08","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,0,0,0,27,0,2018,4
"2018-04-15","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",20,0,0,0,11,0,0,7,0,23,2018,4
"2018-04-22","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",41,16,100,22,0,0,54,11,0,28,2018,4
"2018-04-29","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",31,0,0,0,0,76,0,15,0,0,2018,4
"2018-05-06","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",56,13,0,0,0,0,0,10,24,0,2018,5
"2018-05-13","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,13,20,0,43,0,0,16,0,0,2018,5
"2018-05-20","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,26,0,0,0,0,11,0,35,2018,5
"2018-05-27","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,0,0,24,0,49,2018,5
"2018-06-03","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,93,0,0,24,28,2018,6
"2018-06-10","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,12,0,22,0,0,32,0,19,0,2018,6
"2018-06-17","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",59,0,0,0,0,33,0,0,0,0,2018,6
"2018-06-24","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,10,0,0,27,0,51,7,26,0,2018,6
"2018-07-01","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,9,0,0,0,0,49,0,0,0,2018,7
"2018-07-08","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",59,14,55,0,0,40,0,6,0,23,2018,7
"2018-07-15","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,21,0,0,24,0,0,13,0,42,2018,7
"2018-07-22","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,0,0,10,0,0,2018,7
"2018-07-29","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",29,50,0,41,21,54,67,16,20,0,2018,7
"2018-08-05","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,16,0,0,15,39,100,16,0,27,2018,8
"2018-08-12","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,22,0,0,0,0,49,7,36,0,2018,8
"2018-08-19","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,0,0,0,25,0,2018,8
"2018-08-26","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,26,0,0,22,45,0,12,33,0,2018,8
"2018-09-02","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,10,29,0,0,47,32,7,34,38,2018,9
"2018-09-09","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,9,0,0,0,30,61,0,0,0,2018,9
"2018-09-16","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,65,0,0,0,27,0,8,0,32,2018,9
"2018-09-23","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",56,11,0,0,16,0,0,17,0,40,2018,9
"2018-09-30","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,24,0,0,14,26,30,0,0,59,2018,9
"2018-10-07","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,24,18,0,0,0,0,0,24,0,2018,10
"2018-10-14","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,0,0,0,0,0,2018,10
"2018-10-21","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,37,43,14,0,0,2018,10
"2018-10-28","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",23,10,0,0,0,0,0,0,18,65,2018,10
"2018-11-04","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,13,0,0,0,0,0,6,25,0,2018,11
"2018-11-11","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",17,0,17,0,0,0,32,13,25,41,2018,11
"2018-11-18","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,32,0,0,0,0,37,3,24,39,2018,11
