regname;regcode;year;month;count_0;count_4;min_0;min_4;max_0;max_4;mean_0;mean_4;sum_0;sum_4;nodata_0;nodata_4;median_0;median_4;std_0;std_4;percentile_90_0;percentile_90_4
Moldova;;2022;1;231906;231906;0;0;11578.0;11331.0;425.034.281.131.148;5.529.382.594.671.970;985680.0;1282297.0;27.0;27.0;0;0;5.442.622.007.567.260;4.966.516.512.233.590;6.0;8.0
Moldova;;2022;2;231903;231903;0;0;13219.0;16289.0;34.399.554.986.352.000;3.802.318.210.631.160;797736.0;881769.0;30.0;30.0;0;0;5.133.403.952.640.720;58.502.974.160.998.800;0;6.0
Moldova;;2022;3;231933;231933;0;0;10216.0;4012.0;357.642.939.986.979;36.295.913.043.853.100;829492.0;841822.0;0;0;0;0;44.382.092.780.650.100;26.978.849.530.100.500;0;6.0
Moldova;;2022;4;231916;231916;0;0;3401.0;1166.0;35.620.353.921.247.300;4.110.471.032.615.250;826093.0;953284.0;17.0;17.0;0;0;2.803.525.400.985.110;22.281.511.863.761.000;0;7.0
Moldova;;2022;5;231922;231922;0;0;1618.0;949.0;35.792.550.943.851.800;4.498.792.697.544.860;830108.0;1043369.0;11.0;11.0;0;0;2.429.135.747.898.500;2.154.463.385.458.170;5.0;8.0
Moldova;;2022;6;218917;218917;0;0;996.0;1110.0;4.196.654.439.810.520;5.881.731.432.460.700;918719.0;1287611.0;13016.0;13016.0;0;0;23.385.594.868.617.200;21.995.702.902.989.600;7.0;10.0
Moldova;;2022;7;231919;231919;0;0;880.0;748.0;3.390.248.319.456.360;36.966.268.395.431.100;786263.0;857318.0;14.0;14.0;0;0;20.810.645.682.793.900;1.945.686.580.031.100;6.0;7.0
Moldova;;2022;8;231933;231933;0;0;991.0;870.0;33.671.793.147.158.800;4.836.780.449.526.370;780960.0;1121809.0;0;0;0;0;20.043.791.834.142.600;18.051.642.859.370.100;6.0;7.0
Moldova;;2022;9;231932;231932;0;0;1061.0;1046.0;31.796.647.293.172.100;3.479.580.221.789.140;737466.0;807026.0;1.0;1.0;0;0;21.135.073.845.988.400;19.228.357.506.214.000;5.0;7.0
Moldova;;2022;10;231931;231931;0;0;3101.0;3540.0;29.003.798.543.532.300;30.719.998.620.279.300;672688.0;712492.0;2.0;2.0;0;0;2.143.060.442.151.110;2.129.353.211.207.820;0;6.0
Moldova;;2022;11;231926;231926;0;0;2595.0;1363.0;26.533.678.845.838.700;28.915.257.452.808.200;615385.0;670620.0;7.0;7.0;0;0;2.126.998.033.260.210;17.656.170.625.873.000;0;6.0
Moldova;;2022;12;231933;231933;0;0;6331.0;10883.0;27.191.516.515.545.400;5.518.852.427.209.580;630661.0;1280004.0;0;0;0;5.0;2.647.836.137.064.510;4.244.915.143.532.780;0;7.0
Anenii Noi;MDA.1_1;2022;1;5452;5452;0;0;129.0;171.0;2.803.558.327.219.360;5.410.124.724.871.600;15285.0;29496.0;0;0;0;5.0;9.968.959.628.954.360;9.871.709.739.246.440;6.0;10.0
Anenii Noi;MDA.1_1;2022;2;5452;5452;0;0;128.0;138.0;27.652.237.710.931.700;4.179.200.293.470.280;15076.0;22785.0;0;0;0;0;8.736.665.622.374.200;820.207.372.845.692;7.0;9.0
Anenii Noi;MDA.1_1;2022;3;5452;5452;0;0;143.0;133.0;3.120.322.817.314.740;38.580.337.490.829.000;17012.0;21034.0;0;0;0;0;977.684.865.733.072;9.431.707.249.296.130;7.0;9.0
Anenii Noi;MDA.1_1;2022;4;5452;5452;0;0;146.0;135.0;2.987.527.512.839.320;4.608.400.586.940.570;16288.0;25125.0;0;0;0;0;10.462.411.774.429.600;9.265.416.009.666.980;6.0;10.0
Anenii Noi;MDA.1_1;2022;5;5452;5452;0;0;124.0;121.0;34.860.601.614.086.500;5.518.341.892.883.340;19006.0;30086.0;0;0;0;5.0;9.521.146.297.098.920;8.820.010.408.401.590;8.0;11.0
Anenii Noi;MDA.1_1;2022;6;5452;5452;0;0;131.0;122.0;40.027.512.839.325.000;605.942.773.294.204;21823.0;33036.0;0;0;0;5.0;977.408.944.192.235;952.462.100.287.701;9.0;13.0
Anenii Noi;MDA.1_1;2022;7;5452;5452;0;0;137.0;129.0;34.495.597.945.707.900;4.266.691.122.523.840;18807.0;23262.0;0;0;0;0;8.828.989.228.483.710;8.516.203.440.476.920;9.0;10.0
Anenii Noi;MDA.1_1;2022;8;5452;5452;0;0;114.0;112.0;3.787.967.718.268.520;5.602.531.181.217.900;20652.0;30545.0;0;0;0;5.0;8.162.159.825.877.530;7.364.995.297.721.150;8.0;10.0
Anenii Noi;MDA.1_1;2022;9;5452;5452;0;0;103.0;82.0;3.113.536.316.947.900;4.682.318.415.260.450;16975.0;25528.0;0;0;0;5.0;8.218.837.419.100.610;6.937.962.380.343.010;8.0;10.0
Anenii Noi;MDA.1_1;2022;10;5452;5452;0;0;82.0;60.0;25.366.837.857.666.900;30.995.964.783.565.600;13830.0;16899.0;0;0;0;0;6.943.404.784.435.520;6.209.460.144.680.920;7.0;8.0
Anenii Noi;MDA.1_1;2022;11;5452;5452;0;0;91.0;73.0;22.815.480.557.593.500;2.818.782.098.312.540;12439.0;15368.0;0;0;0;0;6.924.241.865.347.640;5.776.577.492.447.690;6.0;8.0
Anenii Noi;MDA.1_1;2022;12;5452;5452;0;0;94.0;151.0;2.204.512.105.649.300;6.315.480.557.593.540;12019.0;34432.0;0;0;0;5.0;6.549.167.407.195.840;6.460.691.194.588.830;6.0;10.0
 Bălţi;MDA.2_1;2022;1;689;689;0;0;315.0;273.0;3.555.732.946.298.980;3.320.609.579.100.140;24499.0;22879.0;0;0;6.0;10.0;5.451.786.281.993.390;4.450.548.692.380.120;11.540.000.000.000.000;8.820.000.000.000.000
 Bălţi;MDA.2_1;2022;2;689;689;0;0;200.0;238.0;285.166.908.563.135;29.329.462.989.840.300;19648.0;20208.0;0;0;7.0;9.0;39.951.132.305.653.700;3.947.294.662.292.430;9.020.000.000.000.000;8.620.000.000.000.000
 Bălţi;MDA.2_1;2022;3;689;689;0;0;271.0;266.0;342.133.526.850.508;357.489.114.658.926;23573.0;24631.0;0;0;7.0;11.0;4.980.014.684.486.040;4.809.073.972.945.890;100.0;10.220.000.000.000.000
 Bălţi;MDA.2_1;2022;4;689;689;0;0;276.0;238.0;38.709.724.238.026.100;3.652.539.912.917.270;26671.0;25166.0;0;0;7.0;12.0;5.588.052.184.003.010;4.533.189.660.497.790;115.0;102.0
 Bălţi;MDA.2_1;2022;5;689;689;0;0;287.0;440.0;3.706.676.342.525.390;37.561.683.599.419.400;25539.0;25880.0;0;0;8.0;12.0;52.487.069.786.277.300;5.351.992.736.113.980;10.740.000.000.000.000;98.0
 Bălţi;MDA.2_1;2022;6;689;689;0;0;292.0;294.0;4.031.785.195.936.130;39.664.731.494.920.100;27779.0;27329.0;0;0;13.0;18.0;5.412.126.080.791.320;51.236.999.526.012.700;114.0;11.120.000.000.000.000
 Bălţi;MDA.2_1;2022;7;689;689;0;0;277.0;280.0;3.542.960.812.772.130;3.442.235.123.367.190;24411.0;23717.0;0;0;11.0;13.0;47.387.278.764.145.300;4.471.834.279.767.520;103.0;9.720.000.000.000.000
 Bălţi;MDA.2_1;2022;8;689;689;0;0;258.0;242.0;3.524.673.439.767.770;3.135.413.642.960.810;24285.0;21603.0;0;0;9.0;11.0;4.847.398.499.020.640;38.962.592.135.763.300;10.020.000.000.000.000;8.140.000.000.000.000
 Bălţi;MDA.2_1;2022;9;689;689;0;0;257.0;232.0;3.633.817.126.269.950;302.322.206.095.791;25037.0;20830.0;0;0;8.0;11.0;5.056.522.618.196.010;3.919.155.526.286.630;10.820.000.000.000.000;8.120.000.000.000.000
 Bălţi;MDA.2_1;2022;10;689;689;0;0;279.0;236.0;31.687.953.555.878.000;2.835.123.367.198.830;21833.0;19534.0;0;0;7.0;8.0;4.790.393.007.584.990;42.275.463.405.743.500;9.320.000.000.000.000;85.0
 Bălţi;MDA.2_1;2022;11;689;689;0;0;240.0;181.0;30.593.613.933.236.500;27.425.253.991.291.700;21079.0;18896.0;0;0;6.0;8.0;4.588.273.391.227.460;3.727.788.405.273.660;95.0;82.0
 Bălţi;MDA.2_1;2022;12;689;689;0;0;304.0;200.0;30.831.640.058.055.100;31.365.747.460.087.000;21243.0;21611.0;0;0;7.0;10.0;47.455.891.524.827.100;3.814.638.049.547.740;92.0;8.720.000.000.000.000
 Basarabeasca;MDA.3_1;2022;1;2101;2101;0;0;54.0;66.0;0.6116135173726797;23.184.198.000.951.900;1285.0;4871.0;0;0;0;0;4.135.558.566.840.720;566.929.223.260.917;0;6.0
 Basarabeasca;MDA.3_1;2022;2;2101;2101;0;0;46.0;43.0;0.569728700618753;0.6891956211327939;1197.0;1448.0;0;0;0;0;37.859.829.872.947.600;31.679.953.512.813.000;0;0
 Basarabeasca;MDA.3_1;2022;3;2101;2101;0;0;51.0;50.0;0.6473108043788672;0.851975249881009;1360.0;1790.0;0;0;0;0;4.074.838.763.686.860;40.906.531.588.981.100;0;0
 Basarabeasca;MDA.3_1;2022;4;2101;2101;0;0;58.0;47.0;0.680628272251309;11.099.476.439.790.500;1430.0;2332.0;0;0;0;0;4.272.862.552.049.900;4.063.840.975.209.870;0;5.0
 Basarabeasca;MDA.3_1;2022;5;2101;2101;0;0;64.0;64.0;0.8667301285102332;16.330.318.895.763.900;1821.0;3431.0;0;0;0;0;5.098.958.113.096.830;5.149.274.223.562.450;0;5.0
 Basarabeasca;MDA.3_1;2022;6;2101;2101;0;0;63.0;51.0;0.8272251308900523;10.252.260.828.177.000;1738.0;2154.0;0;0;0;0;4.446.320.734.443.550;40.619.701.656.534.900;0;5.0
 Basarabeasca;MDA.3_1;2022;7;2101;2101;0;0;54.0;48.0;0.7296525464064731;0.8781532603522132;1533.0;1845.0;0;0;0;0;4.324.885.795.861.390;4.196.097.960.438.760;0;0
 Basarabeasca;MDA.3_1;2022;8;2101;2101;0;0;47.0;36.0;0.6501665873393622;12.993.812.470.252.200;1366.0;2730.0;0;0;0;0;3.445.632.159.893.440;3.156.454.158.339.500;0;5.0
 Basarabeasca;MDA.3_1;2022;9;2101;2101;0;0;55.0;50.0;0.6192289386006663;0.7962874821513565;1301.0;1673.0;0;0;0;0;4.070.498.635.170.450;35.523.427.483.281.500;0;0
 Basarabeasca;MDA.3_1;2022;10;2101;2101;0;0;44.0;42.0;0.48738695859114706;0.6087577344121847;1024.0;1279.0;0;0;0;0;32.579.793.127.759.800;2.880.980.224.278.340;0;0
 Basarabeasca;MDA.3_1;2022;11;2101;2101;0;0;38.0;36.0;0.26749167063303186;0.418848167539267;562.0;880.0;0;0;0;0;2.053.273.084.004.760;18.521.523.058.325.100;0;0
 Basarabeasca;MDA.3_1;2022;12;2101;2101;0;0;40.0;31.0;0.25654450261780104;3.412.660.637.791.520;539.0;7170.0;0;0;0;5.0;2.063.107.469.058.690;30.935.919.111.025.600;0;6.0
 Bender;MDA.4_1;2022;1;580;580;0;0;282.0;214.0;2.721.206.896.551.720;28.798.275.862.068.900;15783.0;16703.0;0;0;6.0;10.0;4.504.428.693.380.050;3.950.332.588.084.240;9.210.000.000.000.000;87.0
 Bender;MDA.4_1;2022;2;580;580;0;0;275.0;170.0;23.144.827.586.206.800;18.444.827.586.206.800;13424.0;10698.0;0;0;5.0;7.0;3.873.775.300.309.620;2.681.305.762.968.910;7.410.000.000.000.000;51.0
